建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
京懋頤和社區大樓,桃園分局,68000,68000010,中成里,18,N/A,N/A,正光二街,N/A,N/A,N/A,N/A,77,N/A,N/A,N/A,1、2、3,3912,24.999871,121.295696,N/A
嘉璟一品硯社區大樓,桃園分局,68000,68000010,中成里,11,溫州一路,N/A,N/A,N/A,N/A,N/A,N/A,311,N/A,11樓,N/A,1、2、3、4,3066,25.003013,121.288691,N/A
宜誠吾界社區大樓,桃園分局,68000,68000010,大業里,16,大業路,N/A,N/A,一,N/A,N/A,N/A,316,N/A,N/A,N/A,1、2、3,1566,25.009521,121.314695,N/A
豐邑風禾社區大樓,桃園分局,68000,68000010,中成里,6,溫州一路,N/A,N/A,N/A,N/A,N/A,N/A,226,N/A,3樓,N/A,1、2、3,779,25.002497,121.29083,N/A
大和大悅社區大樓,桃園分局,68000,68000010,文中里,3,文中一路,N/A,N/A,N/A,25,N/A,N/A,21,N/A,N/A,N/A,1、2、3,1047,24.99767,121.292985,N/A
竹城晴川社區大樓,桃園分局,68000,68000010,汴洲里,3,經國路,N/A,N/A,N/A,808,N/A,N/A,61,N/A,N/A,N/A,1、2、3,521,25.030043,121.301661,N/A
當代桃源社區大樓,桃園分局,68000,68000010,春日里,16,大興路,N/A,N/A,N/A,120,N/A,N/A,18,N/A,N/A,N/A,1、2,494,25.016803,121.30996,N/A
逸偉站前ONE社區大樓,桃園分局,68000,68000010,文昌里,10,N/A,N/A,新民街,N/A,N/A,N/A,N/A,81,N/A,N/A,N/A,1、2、3,1084,24.993521,121.311123,N/A
國王之森社區大樓,桃園分局,68000,68000010,青溪里,15,春日路,N/A,N/A,N/A,N/A,N/A,N/A,396,N/A,N/A,N/A,1、2、3、4,852,25.003472,121.31341,N/A
青川馥社區大樓,桃園分局,68000,68000010,青溪里,22,光路,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,N/A,N/A,1、2、3、4,973,25.003258,121.310737,N/A
國泰川青社區大樓,桃園分局,68000,68000010,青溪里,16,三民路,N/A,N/A,二,N/A,N/A,N/A,150,N/A,N/A,N/A,1、2、3、4,1896,25.001068,121.313622,N/A
?東騰社區大樓,桃園分局,68000,68000010,青溪里,17,N/A,N/A,朝陽街,N/A,N/A,N/A,N/A,500,N/A,2樓,N/A,1、2、3、4,1070,25.006136,121.311018,N/A
中?松花園社區大樓,桃園分局,68000,68000010,汴洲里,34,幸福路,N/A,N/A,N/A,N/A,N/A,N/A,237,N/A,3樓,N/A,1、2、3,1710,25.027867,121.297135,N/A
成宮大院社區大樓,桃園分局,68000,68000010,東山里,4,成功路,N/A,N/A,二,N/A,N/A,N/A,6,N/A,3樓之1,N/A,1、2、3,1868,24.992943,121.314769,N/A
