建築物名稱,轄管分局,地址_縣市別代碼,地址_行政區域代碼,里別,地址_鄰,地址_路,地址_非路,地址_街,地址_段,地址_巷,地址_弄,地址_衖,地址_號,地址_之號,地址_樓,地址_其他,地下樓層數,可容納人數,緯度,經度,備註
RICH58商辦大樓,桃園分局,68000,68000010,同安里,6,大興西路,N/A,N/A,一,N/A,N/A,N/A,208,N/A,N/A,N/A,1、2、3,616,25.013693,121.3027,N/A
桃大富林苑社區,桃園分局,68000,68000010,中德里,2,N/A,N/A,中路街,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,1、2,4123,24.961724,121.293552,N/A
公寓,桃園分局,68000,68000010,青溪里,33,三民路,N/A,N/A,一,N/A,N/A,N/A,195,N/A,N/A,N/A,1、2,316,25.000963,121.317581,N/A
拉斐爾,桃園分局,68000,68000010,龍壽里,1,N/A,N/A,龍泉一街,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1、2、3,2774,24.979569,121.271224,N/A
美力城邦國美館社區,桃園分局,68000,68000010,大林里,12,N/A,N/A,樹仁三街,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1、2、3,2692,24.974567,121.32275,N/A
巴黎馥,桃園分局,68000,68000010,長德里,13,N/A,N/A,中正三街,N/A,N/A,N/A,N/A,389,N/A,N/A,N/A,1、2、3,1719,25.002612,121.299206,N/A
比佛利社區,桃園分局,68000,68000010,大林里,10,N/A,N/A,樹仁三街,N/A,131,26,N/A,12,N/A,N/A,N/A,1、2,2547,24.973695,121.320248,N/A
大吾疆社區,桃園分局,68000,68000010,莊敬里,15,中正路,N/A,N/A,N/A,N/A,N/A,N/A,1452,N/A,N/A,N/A,1、2、3,3624,25.02452,121.294835,N/A
新晶華,桃園分局,68000,68000010,大有里,10,N/A,N/A,民富十三街,N/A,N/A,N/A,N/A,28,N/A,N/A,N/A,1、2,773,25.01269,121.31999,N/A
竹城新城社區,桃園分局,68000,68000010,中德里,9,桃智路,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,1、2、3,2723,24.964775,121.294826,N/A
青川社區,桃園分局,68000,68000010,忠義里,5,大業路,N/A,N/A,一,19,N/A,N/A,70,N/A,N/A,N/A,1,737,25.004681,121.316556,N/A
大秀南玉社區,桃園分局,68000,68000010,玉山里,11,大同西路,N/A,N/A,N/A,75,N/A,N/A,1,N/A,N/A,N/A,1、2,522,24.987955,121.301984,N/A
竹成大和,桃園分局,68000,68000010,同德里,6,N/A,N/A,同德六街,N/A,N/A,N/A,N/A,169,N/A,N/A,N/A,1、2、3,4542,25.01513,121.296752,N/A
IF國際貿易中心大樓,桃園分局,68000,68000010,瑞慶里,10,中正路,N/A,N/A,N/A,N/A,N/A,N/A,1351,N/A,N/A,N/A,1、2、3、4,1367,25.022567,121.295162,N/A
中正美館,桃園分局,68000,68000010,永安里,20,N/A,N/A,中正三街,N/A,N/A,N/A,N/A,153,N/A,N/A,N/A,1、2、3,746,24.998826,121.304376,N/A
葳旺有限公司,桃園分局,68000,68000010,建國里,15,大林路,N/A,N/A,N/A,N/A,N/A,N/A,20,2,N/A,N/A,1,364,24.988488,121.316498,N/A
紐約大時代,桃園分局,68000,68000010,中寧里,17,大興西路,N/A,N/A,二,69,N/A,N/A,118,N/A,N/A,N/A,1、2、3,6421,25.010422,121.298864,N/A
公寓,桃園分局,68000,68000010,中德里,8,國際路,N/A,N/A,一,N/A,N/A,N/A,136,N/A,N/A,N/A,1,263,24.965169,121.292478,N/A
經國亞緻社區,桃園分局,68000,68000010,經國里,1,慈文路,N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,N/A,N/A,1、2、3,1535,25.011287,121.307676,N/A
竹城橫濱社區,桃園分局,68000,68000010,春日里,5,大業路,N/A,N/A,二,N/A,N/A,N/A,208,N/A,N/A,N/A,1、2、3,2027,25.020301,121.31056,N/A
豐達百邑社區,桃園分局,68000,68000010,龍鳳里,11,N/A,N/A,國豐三街,N/A,N/A,N/A,N/A,72,N/A,1樓,N/A,1,855,24.989506,121.27944,N/A
明勝兒童課後課後照顧服務中心,桃園分局,68000,68000010,龍安里,5,N/A,N/A,國豐十街,N/A,N/A,N/A,N/A,252,N/A,N/A,N/A,1,52,24.991787,121.274888,N/A
家賀,桃園分局,68000,68000010,大有里,4,民有東路,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,1、2、3,276,25.014615,121.319515,N/A
台灣表面黏著科技公司,桃園分局,68000,68000010,大樹里,5,桃鶯路,N/A,N/A,N/A,N/A,N/A,N/A,437,N/A,N/A,N/A,1,3463,24.979095,121.321867,N/A
公寓,桃園分局,68000,68000010,西埔里,9,永安路,N/A,N/A,N/A,N/A,N/A,N/A,1208,N/A,N/A,N/A,1、2,1253,25.01059,121.280292,N/A
宜誠富御,桃園分局,68000,68000010,龍岡里,21,N/A,N/A,國強一街,N/A,N/A,N/A,N/A,176,N/A,N/A,N/A,1、2,601,24.992614,121.283691,N/A
豪椰大鎮社區,桃園分局,68000,68000010,大林里,13,N/A,N/A,樹仁三街,N/A,N/A,N/A,N/A,127,N/A,N/A,N/A,1、2,630,24.973856,121.320944,N/A
公寓,桃園分局,68000,68000010,慈文里,3,N/A,N/A,蓮埔街,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,1,101,25.005434,121.297839,N/A
台達電子工業股份有限公司,桃園分局,68000,68000010,大樹里,5,興隆路,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,1,4623,24.984321,121.321215,N/A
台達電子工業股份有限公司,桃園分局,68000,68000010,大樹里,5,興隆路,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,1,4623,24.984321,121.321215,N/A
大陽明社區,桃園分局,68000,68000010,福林里,21,介壽路,N/A,N/A,N/A,459,8,N/A,29,N/A,N/A,N/A,1,150,24.977887,121.304363,N/A
典藏藝樹社區,桃園分局,68000,68000010,瑞慶里,5,N/A,N/A,敬三街,N/A,N/A,N/A,N/A,1,N/A,4樓,N/A,1、2,841,25.01995,121.290598,N/A
昭揚,桃園分局,68000,68000010,福元里,3,大業路,N/A,N/A,一,121,N/A,N/A,8,N/A,N/A,N/A,1、2,2223,25.005877,121.31618,N/A
美力城邦新美館社區,桃園分局,68000,68000010,大林里,5,N/A,N/A,樹仁三街,N/A,87,N/A,N/A,16,N/A,N/A,N/A,1、2,992,24.974193,121.32233,N/A
宜誠,桃園分局,68000,68000010,大有里,7,民有東路,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,681,25.015171,121.319159,N/A
V1威秀社區,桃園分局,68000,68000010,永興里,2,民權路,N/A,N/A,N/A,N/A,N/A,N/A,150,N/A,N/A,N/A,1,254,24.996049,121.308602,N/A
桃大君匯社區,桃園分局,68000,68000010,玉山里,3,N/A,N/A,南豐二街,N/A,N/A,N/A,N/A,132,N/A,N/A,N/A,1、2,6135,24.982803,121.300815,N/A
一品國硯,桃園分局,68000,68000010,福元里,2,大業路,N/A,N/A,一,N/A,N/A,N/A,113,N/A,N/A,N/A,1、2,4701,25.005523,121.316358,N/A
善美館社區,桃園分局,68000,68000010,大林里,22,桃鶯路,N/A,N/A,N/A,N/A,N/A,N/A,382,8,N/A,N/A,1、2、3,3856,24.977298,121.322551,N/A
公寓,桃園分局,68000,68000010,泰山里,7,N/A,N/A,金山街,N/A,37,N/A,N/A,6,N/A,N/A,N/A,1,76,24.99085,121.300413,N/A
NIKE萬岳桃園南平店,桃園分局,68000,68000010,同德里,10,南平路,N/A,N/A,N/A,N/A,N/A,N/A,419,N/A,N/A,N/A,1,521,25.017118,121.296276,N/A
公寓,桃園分局,68000,68000010,永興里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,116,N/A,N/A,N/A,1,23,24.995137,121.309169,N/A
公寓,桃園分局,68000,68000010,永興里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,197,N/A,N/A,N/A,1,133,24.997129,121.307753,N/A
公寓,桃園分局,68000,68000010,永興里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,117,N/A,N/A,N/A,1,19,24.994838,121.309,N/A
公寓,桃園分局,68000,68000010,永興里,0,N/A,N/A,新興街,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,1,338,24.996999,121.307572,N/A
公寓,桃園分局,68000,68000010,永興里,0,N/A,N/A,新興街,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,1,46,24.996895,121.307186,N/A
公寓,桃園分局,68000,68000010,永興里,0,N/A,N/A,新興街,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,1,56,24.997009,121.307395,N/A
公寓,桃園分局,68000,68000010,永興里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,144,N/A,N/A,N/A,1,42,24.995819,121.308772,N/A
公寓,桃園分局,68000,68000010,永興里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,146,N/A,N/A,N/A,1,35,24.995912,121.308697,N/A
公寓,桃園分局,68000,68000010,永興里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,142,N/A,N/A,N/A,1,91,24.995814,121.308762,N/A
公寓,桃園分局,68000,68000010,永興里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,124,N/A,N/A,N/A,1,36,24.99549,121.308263,N/A
公寓,桃園分局,68000,68000010,永興里,0,永安路,N/A,N/A,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,1,98,24.995646,121.309549,N/A
公寓,桃園分局,68000,68000010,永興里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,104,5,N/A,N/A,1,14,24.99591,121.309361,N/A
桃園市政府消防局三民分隊,桃園分局,68000,68000010,永興里,0,三民路,N/A,N/A,三,N/A,N/A,N/A,26,N/A,N/A,N/A,1,59,24.998062,121.306726,N/A
公寓,桃園分局,68000,68000010,永興里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,104,6,N/A,N/A,1,17,24.99591,121.309361,N/A
公寓,桃園分局,68000,68000010,文昌里,0,民權路,N/A,N/A,N/A,71,N/A,N/A,16,N/A,N/A,N/A,1,27,24.993364,121.309909,N/A
公寓,桃園分局,68000,68000010,文昌里,0,中山路,N/A,N/A,N/A,N/A,N/A,N/A,165,N/A,N/A,N/A,1,62,24.993287,121.309257,N/A
嘉仕特飯店,桃園分局,68000,68000010,文昌里,0,中山路,N/A,N/A,N/A,N/A,N/A,N/A,203,N/A,N/A,N/A,1、2,202,24.992922,121.308239,N/A
公寓,桃園分局,68000,68000010,文昌里,0,中山路,N/A,N/A,N/A,N/A,N/A,N/A,163,N/A,N/A,N/A,1,50,24.993311,121.309297,N/A
公寓,桃園分局,68000,68000010,文昌里,0,民權路,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,1,35,24.993648,121.310206,N/A
公寓,桃園分局,68000,68000010,文昌里,0,民權路,N/A,N/A,N/A,71,N/A,N/A,20,N/A,N/A,N/A,1,27,24.993299,121.309853,N/A
公寓,桃園分局,68000,68000010,西湖里,0,N/A,N/A,四維街,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,1,24,24.993664,121.30529,N/A
公寓,桃園分局,68000,68000010,中和里,0,中正路,N/A,N/A,N/A,N/A,N/A,N/A,246,N/A,N/A,N/A,1,11,24.996142,121.310303,N/A
公寓,桃園分局,68000,68000010,中和里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,1,11,24.996611,121.310694,N/A
公寓,桃園分局,68000,68000010,中和里,0,中山路,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,N/A,1,16,24.995137,121.311198,N/A
公寓,桃園分局,68000,68000010,中和里,0,N/A,N/A,永樂街,N/A,N/A,N/A,N/A,29,N/A,N/A,N/A,1,16,24.996174,121.311442,N/A
公寓,桃園分局,68000,68000010,中和里,0,N/A,N/A,永樂街,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,1,11,24.996301,121.311202,N/A
公寓,桃園分局,68000,68000010,中和里,0,N/A,N/A,桃源街,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,1,15,24.996098,121.310761,N/A
公寓,桃園分局,68000,68000010,中和里,0,中山路,N/A,N/A,N/A,N/A,N/A,N/A,32,N/A,N/A,N/A,1,15,24.99528,121.312222,N/A
公寓,桃園分局,68000,68000010,中和里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,66,N/A,N/A,N/A,1,13,24.996908,121.310742,N/A
公寓,桃園分局,68000,68000010,中和里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,82,N/A,N/A,N/A,1,15,24.996728,121.310593,N/A
公寓,桃園分局,68000,68000010,中和里,0,中正路,N/A,N/A,N/A,N/A,N/A,N/A,224,N/A,N/A,N/A,1,15,24.995692,121.310543,N/A
公寓,桃園分局,68000,68000010,中和里,0,N/A,N/A,桃源街,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,1,17,24.996404,121.31172,N/A
公寓,桃園分局,68000,68000010,中和里,0,中山路,N/A,N/A,N/A,N/A,N/A,N/A,52,N/A,N/A,N/A,1,11,24.995118,121.311762,N/A
公寓,桃園分局,68000,68000010,中和里,0,永安路,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,1,15,24.995392,121.310231,N/A
公寓,桃園分局,68000,68000010,中和里,0,博愛路,N/A,N/A,N/A,N/A,N/A,N/A,52,N/A,N/A,N/A,1,15,24.995666,121.311096,N/A
公寓,桃園分局,68000,68000010,中和里,0,民生路,N/A,N/A,N/A,219,N/A,N/A,5,N/A,N/A,N/A,1,15,24.995687,121.312258,N/A
公寓,桃園分局,68000,68000010,中和里,0,N/A,N/A,永樂街,N/A,N/A,N/A,N/A,31,N/A,N/A,N/A,1,20,24.996104,121.311407,N/A
公寓,桃園分局,68000,68000010,中和里,0,N/A,N/A,永樂街,N/A,N/A,N/A,N/A,41,N/A,N/A,N/A,1,36,24.996405,121.311259,N/A
公寓,桃園分局,68000,68000010,中和里,0,三民路,N/A,N/A,二,N/A,N/A,N/A,255,N/A,N/A,N/A,1,23,24.998924,121.309,N/A
公寓,桃園分局,68000,68000010,中和里,0,和平路,N/A,N/A,N/A,84,N/A,N/A,36,N/A,N/A,N/A,1,15,24.997201,121.310129,N/A
公寓,桃園分局,68000,68000010,中和里,0,和平路,N/A,N/A,N/A,84,N/A,N/A,34,N/A,N/A,N/A,1,15,24.997148,121.310232,N/A
公寓,桃園分局,68000,68000010,中和里,0,新生路,N/A,N/A,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,1,20,24.99764,121.310788,N/A
台灣基督長老教會桃園教會,桃園分局,68000,68000010,民生里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,208,N/A,N/A,N/A,1、2,80,24.994099,121.313086,N/A
公寓,桃園分局,68000,68000010,民生里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,232,N/A,N/A,N/A,1,8,24.994831,121.31289,N/A
公寓,桃園分局,68000,68000010,民生里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,242,N/A,N/A,N/A,1,14,24.995025,121.312843,N/A
公寓,桃園分局,68000,68000010,民生里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,226,N/A,N/A,N/A,1,22,24.994692,121.312935,N/A
公寓,桃園分局,68000,68000010,文昌里,0,N/A,N/A,新民街,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,1,11,24.993645,121.311213,N/A
公寓,桃園分局,68000,68000010,文昌里,0,N/A,N/A,新民街,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,1,29,24.993882,121.31103,N/A
公寓,桃園分局,68000,68000010,西門里,0,三民路,N/A,N/A,三,N/A,N/A,N/A,67,N/A,N/A,N/A,1,31,24.997267,121.306733,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,349,N/A,N/A,N/A,1,104,24.998563,121.311072,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,303,N/A,N/A,N/A,1,41,24.997585,121.311442,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,339,N/A,N/A,N/A,1,10,24.998374,121.31115,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,永樂街,N/A,N/A,N/A,N/A,112,N/A,N/A,N/A,1,20,24.998208,121.310365,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,桃源街,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,1,11,24.996594,121.311743,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,桃源街,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,1,13,24.996699,121.311751,N/A
公寓,桃園分局,68000,68000010,北門里,0,新生路,N/A,N/A,N/A,N/A,N/A,N/A,15、17,N/A,N/A,N/A,1,25,24.997834,121.311001,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,299,N/A,N/A,N/A,1,25,24.997503,121.311478,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,283,N/A,N/A,N/A,1,58,24.99727,121.311463,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,桃源街,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,1,10,24.996602,121.311694,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,桃源街,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,1,25,24.996639,121.311464,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,北興街,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,1,225,24.999105,121.310304,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,411,N/A,N/A,N/A,1,28,25.00051,121.309958,N/A
新巢派大廈,桃園分局,68000,68000010,北門里,0,三民路,N/A,N/A,二,N/A,N/A,N/A,195,N/A,N/A,N/A,1,173,24.999661,121.310397,N/A
公寓,桃園分局,68000,68000010,北門里,0,三民路,N/A,N/A,二,N/A,N/A,N/A,223,N/A,N/A,N/A,1,94,24.999314,121.30981,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,401,N/A,N/A,N/A,1,40,25.000466,121.310198,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,425,N/A,N/A,N/A,1,43,25.000889,121.309904,N/A
民生凱悅社區,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,413,N/A,N/A,N/A,1,559,25.000532,121.310217,N/A
公寓,桃園分局,68000,68000010,北門里,0,N/A,N/A,北華街,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,1,45,25.000472,121.309725,N/A
公寓,桃園分局,68000,68000010,北門里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,391,N/A,N/A,N/A,1,115,25.00019,121.310319,N/A
公寓,桃園分局,68000,68000010,西門里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,169,N/A,N/A,N/A,1,43,24.99506,121.30805,N/A
公寓,桃園分局,68000,68000010,西門里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,126,N/A,N/A,N/A,1,33,24.995362,121.308236,N/A
桃園區農會,桃園分局,68000,68000010,西門里,0,新生路,N/A,N/A,N/A,N/A,N/A,N/A,165,N/A,N/A,N/A,1、2,284,24.996118,121.307777,N/A
公寓,桃園分局,68000,68000010,西門里,0,三民路,N/A,N/A,三,N/A,N/A,N/A,69,N/A,N/A,N/A,1,41,24.997101,121.306704,N/A
公寓,桃園分局,68000,68000010,西門里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,132,N/A,N/A,N/A,1,25,24.99544,121.308144,N/A
濟弘皇璽社區,桃園分局,68000,68000010,西門里,0,民族路,N/A,N/A,N/A,N/A,N/A,N/A,199,N/A,N/A,N/A,1,590,24.994524,121.307741,N/A
公寓,桃園分局,68000,68000010,西門里,0,民族路,N/A,N/A,N/A,N/A,N/A,N/A,239,N/A,N/A,N/A,1,34,24.995223,121.307253,N/A
公寓,桃園分局,68000,68000010,西門里,0,N/A,N/A,金華街,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,1、2,312,24.994543,121.307253,N/A
公寓,桃園分局,68000,68000010,西門里,0,民族路,N/A,N/A,N/A,N/A,N/A,N/A,212,N/A,N/A,N/A,1,62,24.995221,121.307529,N/A
名岱町酒吧,桃園分局,68000,68000010,西門里,0,和平路,N/A,N/A,N/A,N/A,N/A,N/A,148,N/A,N/A,N/A,1,55,24.99531,121.307815,N/A
桃園市私立喬幼幼兒園,桃園分局,68000,68000010,西湖里,0,三民路,N/A,N/A,三,N/A,N/A,N/A,245,N/A,N/A,N/A,1、2,545,24.994411,121.306269,N/A
富邦產物保險股份有限公司分公司,桃園分局,68000,68000010,民生里,0,N/A,N/A,福昌街,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,1、2,343,24.994443,121.313334,N/A
公寓,桃園分局,68000,68000010,西湖里,0,博愛西路,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,1,105,24.994124,121.306771,N/A
公寓,桃園分局,68000,68000010,西湖里,0,三民路,N/A,N/A,三,N/A,N/A,N/A,301,N/A,N/A,N/A,1、2,446,24.993043,121.30632,N/A
協和大廈,桃園分局,68000,68000010,永興里,0,N/A,N/A,北新街,N/A,N/A,N/A,N/A,91,N/A,N/A,N/A,1,209,24.997337,121.308635,N/A
寶佳利社區,桃園分局,68000,68000010,民生里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,310,3,N/A,N/A,1、2、3,750,24.99644,121.312273,N/A
蜜月世紀大飯店,桃園分局,68000,68000010,永興里,0,三民路,N/A,N/A,三,N/A,N/A,N/A,55,N/A,N/A,N/A,1、2,602,24.997497,121.30693,N/A
葛里法W社區,桃園分局,68000,68000010,西門里,0,民族路,N/A,N/A,N/A,N/A,N/A,N/A,250,N/A,N/A,N/A,1,102,24.996025,121.307093,N/A
公寓,桃園分局,68000,68000010,西門里,0,N/A,N/A,和興街,N/A,N/A,N/A,N/A,27,N/A,N/A,N/A,1、2,1890,24.994648,121.306328,N/A
鴻福寺,桃園分局,68000,68000010,中和里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,231,N/A,N/A,N/A,1、2,521,24.995931,121.312227,N/A
三本大樓,桃園分局,68000,68000010,南門里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,283,N/A,N/A,N/A,1,286,24.98909,121.306317,N/A
公寓,桃園分局,68000,68000010,南門里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,299,N/A,N/A,N/A,1,6,24.989159,121.305728,N/A
古鼎商業大樓,桃園分局,68000,68000010,文化里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,161,N/A,N/A,N/A,1,1382,24.989695,121.310798,N/A
公寓,桃園分局,68000,68000010,文化里,0,大同路,N/A,N/A,N/A,N/A,N/A,N/A,60,1,N/A,N/A,1,6,24.989477,121.311815,N/A
公寓,桃園分局,68000,68000010,文化里,0,大同路,N/A,N/A,N/A,N/A,N/A,N/A,60,1,N/A,N/A,1,46,24.989477,121.311815,N/A
公寓,桃園分局,68000,68000010,南門里,0,N/A,N/A,育樂街,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,1,15,24.991433,121.304108,N/A
公寓,桃園分局,68000,68000010,武陵里,0,民生路,N/A,N/A,N/A,N/A,N/A,N/A,58,N/A,N/A,N/A,1,454,24.99139,121.314859,N/A
桃花園飯店,桃園分局,68000,68000010,文化里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,151,N/A,N/A,N/A,1,1984,24.989845,121.311348,N/A
公寓,桃園分局,68000,68000010,東門里,0,春日路,N/A,N/A,N/A,N/A,N/A,N/A,229,N/A,N/A,N/A,1,31,24.997316,121.315224,N/A
公寓,桃園分局,68000,68000010,東門里,0,春日路,N/A,N/A,N/A,N/A,N/A,N/A,231,N/A,N/A,N/A,1,34,24.997389,121.315234,N/A
公寓,桃園分局,68000,68000010,東門里,0,春日路,N/A,N/A,N/A,N/A,N/A,N/A,233,N/A,N/A,N/A,1,47,24.997432,121.315236,N/A
公寓,桃園分局,68000,68000010,東門里,0,N/A,N/A,朝陽街,一,N/A,N/A,N/A,75,N/A,N/A,N/A,1,13,24.99405,121.313821,N/A
公寓,桃園分局,68000,68000010,文明里,0,大同路,N/A,N/A,N/A,N/A,N/A,N/A,157,N/A,N/A,N/A,1,10,24.98836,121.307875,N/A
公寓,桃園分局,68000,68000010,文明里,0,大同路,N/A,N/A,N/A,N/A,N/A,N/A,112,1,N/A,N/A,1,361,24.988976,121.310213,N/A
行政院農業委員會農糧署北區分署,桃園分局,68000,68000010,武陵里,0,大同路,N/A,N/A,N/A,N/A,N/A,N/A,111,N/A,N/A,N/A,1,230,24.988465,121.309424,N/A
公寓,桃園分局,68000,68000010,南華里,0,南海路,N/A,N/A,N/A,N/A,N/A,N/A,45,N/A,N/A,N/A,1,216,24.991327,121.307336,N/A
公寓,桃園分局,68000,68000010,南華里,0,南海路,N/A,N/A,N/A,N/A,N/A,N/A,54,N/A,N/A,N/A,1,133,24.991327,121.307336,N/A
公寓,桃園分局,68000,68000010,南華里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,57,N/A,N/A,N/A,1,20,24.990511,121.308133,N/A
公寓,桃園分局,68000,68000010,文明里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,60,N/A,N/A,N/A,1,214,24.990563,121.308543,N/A
鎮南華廈,桃園分局,68000,68000010,南華里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,66,N/A,N/A,N/A,1、2,659,24.990686,121.308443,N/A
運通大樓,桃園分局,68000,68000010,南華里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1,22,24.99082,121.308102,N/A
公寓,桃園分局,68000,68000010,南華里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,77,N/A,N/A,N/A,1、2,414,24.991026,121.308015,N/A
遠東國際商業銀行桃園分行,桃園分局,68000,68000010,南華里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,78,N/A,N/A,N/A,1,431,24.991088,121.308367,N/A
凱基銀行桃園分行,桃園分局,68000,68000010,南華里,0,N/A,N/A,南華街,N/A,N/A,N/A,N/A,80,N/A,N/A,N/A,1,138,24.991103,121.308353,N/A
公寓,桃園分局,68000,68000010,南華里,0,N/A,N/A,鎮南街,N/A,N/A,N/A,N/A,26,N/A,N/A,N/A,1,14,24.991014,121.308627,N/A
公寓,桃園分局,68000,68000010,南華里,0,N/A,N/A,鎮南街,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,1,22,24.990411,121.307711,N/A
公寓,桃園分局,68000,68000010,南華里,0,N/A,N/A,鎮南街,N/A,N/A,N/A,N/A,77,N/A,N/A,N/A,1,129,24.990417,121.307265,N/A
公寓,桃園分局,68000,68000010,南門里,0,大同路,N/A,N/A,N/A,N/A,N/A,N/A,219,N/A,N/A,N/A,1,65,24.988205,121.306023,N/A
桃園市桃園區南門國民小學,桃園分局,68000,68000010,南門里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,303,N/A,N/A,N/A,1,516,24.98913,121.305506,N/A
公寓,桃園分局,68000,68000010,南門里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,305,N/A,N/A,N/A,1,334,24.989194,121.305266,N/A
公寓,桃園分局,68000,68000010,南門里,0,復興路,N/A,N/A,N/A,N/A,N/A,N/A,314,N/A,N/A,N/A,1,14,24.989333,121.306258,N/A
